Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev
DifferenceTwoPointClass;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5.209 ns;0.0257 ns;0.0201 ns
DifferenceTwoPointStruct;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1.466 ns;0.0070 ns;0.0066 ns
DifferenceTwoPointStructDouble;DefaultJob;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;2.456 ns;0.0034 ns;0.0032 ns
